"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Codelist Submission Values","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SDTMIG v3.4","1","Interventions","AG","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SDTMIG v3.4","2","Interventions","AG","DOMAIN","Domain Abbreviation","Char","","",,"AG","Identifier","Two-character abbreviation for the domain.","Req"
"SDTMIG v3.4","3","Interventions","AG","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SDTMIG v3.4","4","Interventions","AG","AGSEQ","Sequence Number","Num","","",,"","Identifier","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SDTMIG v3.4","5","Interventions","AG","AGGRPID","Group ID","Char","","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject.","Perm"
"SDTMIG v3.4","6","Interventions","AG","AGSPID","Sponsor-Defined Identifier","Char","","",,"","Identifier","Sponsor-defined reference number. May be preprinted on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number from the procedure or test page.","Perm"
"SDTMIG v3.4","7","Interventions","AG","AGLNKID","Link ID","Char","","",,"","Identifier","Identifier used to link related records across domains.This may be a one-to-one or a one-to-many relationship.","Perm"
"SDTMIG v3.4","8","Interventions","AG","AGLNKGRP","Link Group ID","Char","","",,"","Identifier","Identifier used to link related records across domains.This will usually be a many-to-one relationship.","Perm"
"SDTMIG v3.4","9","Interventions","AG","AGTRT","Reported Agent Name","Char","","",,"","Topic","Verbatim medication name that is either preprinted or collected on a CRF.","Req"
"SDTMIG v3.4","10","Interventions","AG","AGMODIFY","Modified Reported Name","Char","","",,"","Synonym Qualifier","If AGTRT is modified to facilitate coding, then AGMODIFY will contain the modified text.","Perm"
"SDTMIG v3.4","11","Interventions","AG","AGDECOD","Standardized Agent Name","Char","","",,"","Synonym Qualifier","Standardized or dictionary-derived text description of AGTRT or AGMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the external codelist element in the Define-XML document. If an intervention term does not have a decode value in the dictionary, then AGDECOD will be left blank.","Perm"
