"Version","Class","Dataset Name","Dataset Label","Structure"
"SENDIG v3.1.1","Interventions","EX","Exposure","One record per constant dosing interval per treatment per subject or pool"
"SENDIG v3.1.1","Events","DS","Disposition","One record per subject"
"SENDIG v3.1.1","Findings","BW","Body Weight","One record per test per observation time per subject"
"SENDIG v3.1.1","Findings","BG","Body Weight Gains","One record per test per interval per subject"
"SENDIG v3.1.1","Findings","CL","Clinical Observations","One record per finding per observation time per subject or pool"
"SENDIG v3.1.1","Findings","DD","Death Diagnosis and Details","One record per diagnosis per subject (for unscheduled deaths only)"
"SENDIG v3.1.1","Findings","FW","Food and Water Consumption","One record per test per interval per subject or pool"
"SENDIG v3.1.1","Findings","LB","Laboratory","One record per test per specimen per observation time per subject or pool"
"SENDIG v3.1.1","Findings","MA","Macroscopic Findings","One record per finding per specimen per subject"
"SENDIG v3.1.1","Findings","MI","Microscopic Findings","One record per finding per specimen per subject"
"SENDIG v3.1.1","Findings","OM","Organ Measurements","One record per test per specimen per subject"
"SENDIG v3.1.1","Findings","PM","Palpable Masses","One record per test per palpable mass per observation time per subject"
"SENDIG v3.1.1","Findings","PC","Pharmacokinetic Concentrations","One record per test per specimen per observation time per subject or pool"
"SENDIG v3.1.1","Findings","PP","Pharmacokinetics Parameters","One record per pharmacokinetic parameter per time-concentration profile per specimen per subject or pool"
"SENDIG v3.1.1","Findings","SC","Subject Characteristics","One record per characteristic per subject"
"SENDIG v3.1.1","Findings","TF","Tumor Findings","One record per tumor per specimen per subject"
"SENDIG v3.1.1","Findings","VS","Vital Signs","One record per measurement per observation time per subject"
"SENDIG v3.1.1","Findings","EG","ECG","One record per test per ECG reference per observation time per subject"
"SENDIG v3.1.1","Findings","CV","Cardiovascular Findings","One record per test per observation time or evaluation interval per subject"
"SENDIG v3.1.1","Findings","RE","Respiratory","One record per test per observation time or evaluation interval per subject"
"SENDIG v3.1.1","Special-Purpose","DM","Demographics","One record per subject"
"SENDIG v3.1.1","Special-Purpose","CO","Comments","One record per comment"
"SENDIG v3.1.1","Special-Purpose","SE","Subject Elements","One record per element experienced per subject"
"SENDIG v3.1.1","Trial Design","TE","Trial Elements","One record per planned Element"
"SENDIG v3.1.1","Trial Design","TA","Trial Arms","One record per planned Element per Arm"
"SENDIG v3.1.1","Trial Design","TX","Trial Sets","One record per Trial Set parameter per Trial Set"
"SENDIG v3.1.1","Trial Design","TS","Trial Summary","One record per Trial Summary parameter value"
"SENDIG v3.1.1","Relationship","RELREC","Related Records","One record per related record, related group of records, or related domain"
"SENDIG v3.1.1","Relationship","SUPPQUAL","Supplemental Qualifiers for (domain name)","One record per supplemental qualifier per related parent domain record(s)"
"SENDIG v3.1.1","Relationship","POOLDEF","Pool Definition","One record per subject per pool"
