"Version","Variable Order","Class","Dataset Name","Variable Name","Variable Label","Type","CDISC CT Codelist Code(s)","Codelist Submission Values","Described Value Domain(s)","Value List","Role","CDISC Notes","Core"
"SENDIG v3.1.1","1","Interventions","EX","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SENDIG v3.1.1","2","Interventions","EX","DOMAIN","Domain Abbreviation","Char","","",,"EX","Identifier","Two-character abbreviation for the domain.","Req"
"SENDIG v3.1.1","3","Interventions","EX","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.","Exp"
"SENDIG v3.1.1","4","Interventions","EX","POOLID","Pool Identifier","Char","","",,"","Identifier","Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.","Perm"
"SENDIG v3.1.1","5","Interventions","EX","FOCID","Focus of Study-Specific Interest","Char","","",,"","Identifier","Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol for which a measurement, test, or examination was performed, such as a drug application site, e.g., ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.","Perm"
"SENDIG v3.1.1","6","Interventions","EX","EXSEQ","Sequence Number","Num","","",,"","Identifier","The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.","Req"
"SENDIG v3.1.1","7","Interventions","EX","EXTRT","Name of Actual Treatment","Char","","",,"","Topic","Name of the treatment, as defined by the protocol.","Req"
"SENDIG v3.1.1","8","Interventions","EX","EXDOSE","Dose per Administration","Num","","",,"","Record Qualifier","Amount of treatment administered.","Exp"
"SENDIG v3.1.1","9","Interventions","EX","EXDOSTXT","Dose Description","Char","","",,"","Record Qualifier","If the amount of treatment administered cannot be represented as a number and populated in EXDOSE, this field is used to describe the amount of treatment administered. Example: 200-400.","Perm"
"SENDIG v3.1.1","10","Interventions","EX","EXDOSU","Dose Units","Char","C71620","UNIT",,"","Variable Qualifier","Units for EXDOSE or EXDOSTXT. Examples: ng, mg, or mg/kg.","Exp"
"SENDIG v3.1.1","11","Interventions","EX","EXDOSFRM","Dose Form","Char","C66726","FRM",,"","Variable Qualifier","Dose form for treatment (form administered). Examples: TABLET, LOTION.","Exp"
"SENDIG v3.1.1","12","Interventions","EX","EXDOSFRQ","Dosing Frequency Per Interval","Char","C71113","FREQ",,"","Variable Qualifier","Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: QD (once daily), BID (2x daily).","Req"
"SENDIG v3.1.1","13","Interventions","EX","EXROUTE","Route of Administration","Char","C66729","ROUTE",,"","Variable Qualifier","Route of administration for EXTRT. Examples: ORAL GAVAGE, DERMAL, INTRAVENOUS.","Req"
"SENDIG v3.1.1","14","Interventions","EX","EXLOT","Lot Number","Char","","",,"","Record Qualifier","Lot Number(s) or Batch Number(s) of the EXTRT test article. If mixed lots of the test article are administered during the same constant dosing interval, this should be represented as ""Lot A;Lot B."" Mixed lots are produced by the mixing of Lots a and B of the test article into one solution, suspension, or dietary food concentration. If no test article was administered, EXLOT should be null.","Exp"
"SENDIG v3.1.1","15","Interventions","EX","EXLOC","Location of Dose Administration","Char","","",,"","Record Qualifier","Specifies anatomical location (site) of administration. Example: LEFT HINDLIMB for a topical application or an injection site number. Each administration will require its own record.","Perm"
"SENDIG v3.1.1","16","Interventions","EX","EXMETHOD","Method of Administration","Char","","",,"","Record Qualifier","Method of the dose administration. Example: INFUSION.","Perm"
"SENDIG v3.1.1","17","Interventions","EX","EXTRTV","Treatment Vehicle","Char","","",,"","Record Qualifier","Describes vehicle used for treatment. Example: SALINE.","Exp"
"SENDIG v3.1.1","18","Interventions","EX","EXVAMT","Amount Administered","Num","","",,"","Record Qualifier","The amount (volume or weight) of the treatment compound plus vehicle administered in a single dose. This is not to be confused with EXDOSE. EXDOSE refers to the amount of test material administered to the subject.","Perm"
"SENDIG v3.1.1","19","Interventions","EX","EXVAMTU","Amount Administered Units","Char","C71620","UNIT",,"","Variable Qualifier","Units for EXVAMT (per dose administration).","Perm"
"SENDIG v3.1.1","20","Interventions","EX","EXADJ","Reason for Dose Adjustment","Char","","",,"","Record Qualifier","Describes reason or explanation of why a dose is adjusted - used only when an adjustment is represented in EX. May be used for variations from protocol-specified doses or changes from expected doses (e.g., when dose is adjusted due to toxicity).","Perm"
"SENDIG v3.1.1","21","Interventions","EX","EXSTDTC","Start Date/Time of Treatment","Char","","","ISO 8601","","Timing","Date/Time when administration of the treatment indicated by EXTRT and EXDOSE began, in ISO 8601 format.","Exp"
"SENDIG v3.1.1","22","Interventions","EX","EXENDTC","End Date/Time of Treatment","Char","","","ISO 8601","","Timing","Date/Time when administration of the treatment indicated by EXTRT and EXDOSE ended, in ISO 8601 format.","Perm"
"SENDIG v3.1.1","23","Interventions","EX","EXSTDY","Study Day of Start of Treatment","Num","","",,"","Timing","Study day when administration of the treatment began, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","24","Interventions","EX","EXENDY","Study Day of End of Treatment","Num","","",,"","Timing","Study day when administration of the treatment ended, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","25","Interventions","EX","EXDUR","Duration of Treatment","Char","","","ISO 8601","","Timing","Duration and unit of time for a continuous treatment. This may be used to denote the length of an infusion (e.g., PT10M to indicate 10 minutes).","Perm"
"SENDIG v3.1.1","26","Interventions","EX","EXTPT","Planned Time Point Name","Char","","",,"","Timing","Text description of time when a dose should be given. Note: This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF.","Perm"
"SENDIG v3.1.1","27","Interventions","EX","EXTPTNUM","Planned Time Point Number","Num","","",,"","Timing","Numerical version of EXTPT to aid in sorting.","Perm"
"SENDIG v3.1.1","28","Interventions","EX","EXELTM","Planned Elapsed Time from Time Point Ref","Char","","","ISO 8601","","Timing","Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: ""- PT15M"" to represent the period of 15 minutes prior to the reference point indicated by EXTPTREF, or ""PT8H"" to represent the period of 8 hours after the reference point indicated by EXTPTREF.","Perm"
"SENDIG v3.1.1","29","Interventions","EX","EXTPTREF","Time Point Reference","Char","","",,"","Timing","Name of the fixed reference point referred to by EXELTM, if used for EXTPTNUM, and EXTPT. It is recommended that EXTPTREF be as descriptive as possible so the reference time point can be inferred without looking at other variables. Examples: Previous dose, previous feed.","Perm"
"SENDIG v3.1.1","30","Interventions","EX","EXRFTDTC","Date/Time of Reference Time Point","Char","","","ISO 8601","","Timing","Date/Time of the reference time point, EXTPTREF.","Perm"
"SENDIG v3.1.1","1","Events","DS","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SENDIG v3.1.1","2","Events","DS","DOMAIN","Domain Abbreviation","Char","","",,"DS","Identifier","Two-character abbreviation for the domain.","Req"
"SENDIG v3.1.1","3","Events","DS","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SENDIG v3.1.1","4","Events","DS","DSSEQ","Sequence Number","Num","","",,"","Identifier","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SENDIG v3.1.1","5","Events","DS","DSTERM","Reported Term for the Disposition Event","Char","","",,"","Topic","DSTERM is the original term recorded for subject disposition. DSTERM is not under controlled terminology, but should be mapped to DSDECOD.","Req"
"SENDIG v3.1.1","6","Events","DS","DSDECOD","Standardized Disposition Term","Char","C89968","DSDECOD",,"","Synonym Qualifier","Contains the result in a standard format.","Req"
"SENDIG v3.1.1","7","Events","DS","DSUSCHFL","Unscheduled Flag","Char","C66742","NY",,"","Record Qualifier","Indicates whether the subject's disposition was unscheduled. If the subject's disposition was based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.","Exp"
"SENDIG v3.1.1","8","Events","DS","VISITDY","Planned Study Day of Disposition","Num","","",,"","Timing","Planned study day of collection. Should be an integer. VISITDY should be populated only when DSTERM represents a scheduled activity.","Perm"
"SENDIG v3.1.1","9","Events","DS","DSSTDTC","Date/Time of Disposition","Char","","","ISO 8601","","Timing","Date/Time of the disposition event, in ISO 8601 format.","Req"
"SENDIG v3.1.1","10","Events","DS","DSSTDY","Study Day of Disposition","Num","","",,"","Timing","Study day of the disposition event, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","11","Events","DS","DSNOMDY","Nominal Study Day for Tabulations","Num","","",,"","Timing","Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.","Exp"
"SENDIG v3.1.1","12","Events","DS","DSNOMLBL","Label for Nominal Study Day","Char","","",,"","Timing","A label for a given value of DSNOMDY as presented in the study report. Examples: Week 4, Day 28, Terminal Sac.","Perm"
"SENDIG v3.1.1","1","Findings","BW","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SENDIG v3.1.1","2","Findings","BW","DOMAIN","Domain Abbreviation","Char","","",,"BW","Identifier","Two-character abbreviation for the domain.","Req"
"SENDIG v3.1.1","3","Findings","BW","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SENDIG v3.1.1","4","Findings","BW","BWSEQ","Sequence Number","Num","","",,"","Identifier","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SENDIG v3.1.1","5","Findings","BW","BWTESTCD","Test Short Name","Char","C89962","BWTESTCD",,"","Topic","Short name of the measurement, test, or examination described in BWTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BWTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BWTESTCD cannot contain characters other than letters, numbers, or underscores.","Req"
"SENDIG v3.1.1","6","Findings","BW","BWTEST","Test Name","Char","C89961","BWTEST",,"","Synonym Qualifier","Long name for BWTESTCD. The value in BWTEST cannot be longer than 40 characters.","Req"
"SENDIG v3.1.1","7","Findings","BW","BWORRES","Result or Findings as Collected","Char","","",,"","Result Qualifier","Result of the measurement or finding as originally received or collected.","Exp"
"SENDIG v3.1.1","8","Findings","BW","BWORRESU","Unit of the Original Result","Char","C71620","UNIT",,"","Variable Qualifier","The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology list.","Exp"
"SENDIG v3.1.1","9","Findings","BW","BWSTRESC","Standardized Result in Character Format","Char","","",,"","Result Qualifier","Contains the result value for all findings, copied or derived from BWORRES in a standard format or standard units. BWSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BWSTRESN.","Exp"
"SENDIG v3.1.1","10","Findings","BW","BWSTRESN","Standardized Result in Numeric Format","Num","","",,"","Result Qualifier","Used for numeric results or findings in standard format; contains the numeric form of BWSTRESC. BWSTRESN should store all numeric test results or findings.","Exp"
"SENDIG v3.1.1","11","Findings","BW","BWSTRESU","Unit of the Standardized Result","Char","C71620","UNIT",,"","Variable Qualifier","Standardized unit used for BWSTRESC and BWSTRESN.","Exp"
"SENDIG v3.1.1","12","Findings","BW","BWSTAT","Completion Status","Char","C66789","ND",,"","Record Qualifier","Used to indicate when a test is not done or result is missing. Should be null if a result exists in BWORRES.","Perm"
"SENDIG v3.1.1","13","Findings","BW","BWREASND","Reason Not Done","Char","","",,"","Record Qualifier","Describes why BWSTAT is NOT DONE, such as BROKEN EQUIPMENT or TECHNICIAN OVERSIGHT.","Perm"
"SENDIG v3.1.1","14","Findings","BW","BWBLFL","Baseline Flag","Char","C66742","NY",,"","Record Qualifier","A baseline indicator may be used to calculate differences or changes from baseline. Value should be Y or null. The baseline flag is sponsor defined.","Exp"
"SENDIG v3.1.1","15","Findings","BW","BWFAST","Fasting Status","Char","C66742","NY",,"","Record Qualifier","Indicator used to identify fasting status. The value should by Y or null.","Perm"
"SENDIG v3.1.1","16","Findings","BW","BWEXCLFL","Exclusion Flag","Char","C66742","NY",,"","Record Qualifier","Y if the result should be excluded from all calculations, otherwise null.","Perm"
"SENDIG v3.1.1","17","Findings","BW","BWREASEX","Reason for Exclusion","Char","","",,"","Record Qualifier","The reason the result should be excluded from all calculations. Used only when BWEXCLFL is Y.","Perm"
"SENDIG v3.1.1","18","Findings","BW","BWUSCHFL","Unscheduled Flag","Char","C66742","NY",,"","Record Qualifier","Indicates whether the timing of a performed test or observation was unscheduled. If a test or observation was performed based upon a schedule defined in the protocol, this flag should be null. Expected values are Y or null.","Perm"
"SENDIG v3.1.1","19","Findings","BW","VISITDY","Planned Study Day of Collection","Num","","",,"","Timing","Planned study day of collection. Should be an integer.","Perm"
"SENDIG v3.1.1","20","Findings","BW","BWDTC","Date/Time Animal Weighed","Char","","","ISO 8601","","Timing","Date/Time of body weight collection in ISO 8601 format.","Exp"
"SENDIG v3.1.1","21","Findings","BW","BWDY","Study Day Animal Weighed","Num","","",,"","Timing","Study day of body weight collection, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","22","Findings","BW","BWNOMDY","Nominal Study Day for Tabulations","Num","","",,"","Timing","Nominal study day used for grouping records for observations that may occur on different days into a single reported study day. Should be an integer.","Exp"
"SENDIG v3.1.1","23","Findings","BW","BWNOMLBL","Label for Nominal Study Day","Char","","",,"","Timing","A label for a given value of BWNOMDY as presented in the study report. Examples: ""Week 4,"" ""Day 28,"" ""Terminal Sac"".","Perm"
"SENDIG v3.1.1","1","Findings","BG","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SENDIG v3.1.1","2","Findings","BG","DOMAIN","Domain Abbreviation","Char","","",,"BG","Identifier","Two-character abbreviation for the domain.","Req"
"SENDIG v3.1.1","3","Findings","BG","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.","Req"
"SENDIG v3.1.1","4","Findings","BG","BGSEQ","Sequence Number","Num","","",,"","Identifier","Sequence number given to ensure uniqueness of subject records within a domain. May be any valid number.","Req"
"SENDIG v3.1.1","5","Findings","BG","BGTESTCD","Test Short Name","Char","C89960","BGTESTCD",,"","Topic","Short name of the measurement, test, or examination described in BGTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in BGTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). BGTESTCD cannot contain characters other than letters, numbers, or underscores.","Req"
"SENDIG v3.1.1","6","Findings","BG","BGTEST","Test Name","Char","C89959","BGTEST",,"","Synonym Qualifier","Long name for BGTESTCD. The value in BGTEST cannot be longer than 40 characters.","Req"
"SENDIG v3.1.1","7","Findings","BG","BGORRES","Result or Findings as Collected","Char","","",,"","Result Qualifier","Result of the measurement or finding as originally received or collected.","Exp"
"SENDIG v3.1.1","8","Findings","BG","BGORRESU","Unit of the Original Result","Char","C71620","UNIT",,"","Variable Qualifier","The unit for the original result. The unit of the original result should be mapped to a synonymous unit on the Controlled Terminology (http://www.cdisc.org/terminology) list.","Exp"
"SENDIG v3.1.1","9","Findings","BG","BGSTRESC","Standardized Result in Character Format","Char","","",,"","Result Qualifier","Contains the result value for all findings, copied or derived from BGORRES in a standard format or standard units. BGSTRESC should store all results or findings in character format; if results are numeric, they should also be submitted in numeric format in BGSTRESN.","Exp"
"SENDIG v3.1.1","10","Findings","BG","BGSTRESN","Standardized Result in Numeric Format","Num","","",,"","Result Qualifier","Used for numeric results or findings in standard format; contains the numeric form of BGSTRESC. BGSTRESN should store all numeric test results or findings.","Exp"
"SENDIG v3.1.1","11","Findings","BG","BGSTRESU","Unit of the Standardized Result","Char","C71620","UNIT",,"","Variable Qualifier","Standardized unit used for BGSTRESC and BGSTRESN.","Exp"
"SENDIG v3.1.1","12","Findings","BG","BGSTAT","Completion Status","Char","C66789","ND",,"","Record Qualifier","Used to indicate when a test is not done or result is missing. Should be null if a result exists in BGORRES.","Perm"
"SENDIG v3.1.1","13","Findings","BG","BGREASND","Reason Not Done","Char","","",,"","Record Qualifier","Describes why BGSTAT is NOT DONE, such as MISSING BODY WEIGHT.","Perm"
"SENDIG v3.1.1","14","Findings","BG","BGEXCLFL","Exclusion Flag","Char","C66742","NY",,"","Record Qualifier","Y if the result should be excluded from all calculations, otherwise null.","Perm"
"SENDIG v3.1.1","15","Findings","BG","BGREASEX","Reason for Exclusion","Char","","",,"","Record Qualifier","The reason the result should be excluded from all calculations. Used only when BGEXCLFL is Y.","Perm"
"SENDIG v3.1.1","16","Findings","BG","BGDTC","Date/Time Animal Weighed","Char","","","ISO 8601","","Timing","Date/Time of the start of the weight interval, in ISO 8601 format.","Exp"
"SENDIG v3.1.1","17","Findings","BG","BGENDTC","End Date/Time Animal Weighed","Char","","","ISO 8601","","Timing","Date/Time of the end of the weight interval, in ISO 8601 format.","Exp"
"SENDIG v3.1.1","18","Findings","BG","BGDY","Study Day of Start of Interval","Num","","",,"","Timing","Study day of the start of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","19","Findings","BG","BGENDY","Study Day of End of Weight Interval","Num","","",,"","Timing","Study day of the end of the weight interval, in integer days. The algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in the Demographics (DM) domain.","Perm"
"SENDIG v3.1.1","1","Findings","CL","STUDYID","Study Identifier","Char","","",,"","Identifier","Unique identifier for a study.","Req"
"SENDIG v3.1.1","2","Findings","CL","DOMAIN","Domain Abbreviation","Char","","",,"CL","Identifier","Two-character abbreviation for the domain.","Req"
"SENDIG v3.1.1","3","Findings","CL","USUBJID","Unique Subject Identifier","Char","","",,"","Identifier","Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product. Either USUBJID or POOLID must be populated.","Exp"
"SENDIG v3.1.1","4","Findings","CL","POOLID","Pool Identifier","Char","","",,"","Identifier","Identifier used for pooling subjects to assign a single finding to multiple subjects. If POOLID is entered, POOLDEF records must exist for each subject and the USUBJID must be null. Either USUBJID or POOLID must be populated.","Perm"
"SENDIG v3.1.1","5","Findings","CL","FOCID","Focus of Study-Specific Interest","Char","","",,"","Identifier","Identification of a focus of study-specific interest on or within a subject or specimen as defined in the protocol, for which a measurement, test, or examination was performed. An example could be a drug application site, e.g. ""Injection site 1,"" ""Biopsy site 1,"" ""Treated site 1."" the value in this variable should have inherent semantic value.","Perm"
"SENDIG v3.1.1","6","Findings","CL","CLSEQ","Sequence Number","Num","","",,"","Identifier","The sequence number must be unique for each record within a USUBJID or POOLID, whichever applies for the record.","Req"
"SENDIG v3.1.1","7","Findings","CL","CLGRPID","Group Identifier","Char","","",,"","Identifier","Used to tie together a block of related records in a single domain for a subject or pool. This is not the treatment group number.","Perm"
"SENDIG v3.1.1","8","Findings","CL","CLSPID","Mass Identifier","Char","","",,"","Identifier","Mass identifier such as MASS 1 or MASS A. Used when the mass was discovered during the in-life phase and assigned a mass identifier. The mass identification should be unique within the subject, regardless of mass location.","Perm"
"SENDIG v3.1.1","9","Findings","CL","CLTESTCD","Test Short Name","Char","","",,"","Topic","Short name of the measurement, test, or examination described in CLTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in CLTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., ""1TEST"" is not valid). CLTESTCD cannot contain characters other than letters, numbers, or underscores.","Req"
"SENDIG v3.1.1","10","Findings","CL","CLTEST","Test Name","Char","","",,"","Synonym Qualifier","Long name for CLTESTCD. The value in CLTEST cannot be longer than 40 characters.","Req"
"SENDIG v3.1.1","11","Findings","CL","CLCAT","Category for Clinical Observations","Char","C89963","CLCAT",,"","Grouping Qualifier","Used to define a category of the clinical observation.","Req"
"SENDIG v3.1.1","12","Findings","CL","CLSCAT","Subcategory for Clinical Observations","Char","","",,"","Grouping Qualifier","Used to further categorize a group of clinical observations within a category. For example ""Whole Body Appearance"" and ""Sensory Organ Appearance"" may be subcategories within Clinical Signs.","Perm"
"SENDIG v3.1.1","13","Findings","CL","CLBODSYS","Body System or Organ Class","Char","C88026","BODSYS",,"","Record Qualifier","Body system or organ class associated with the measurement performed.","Perm"
"SENDIG v3.1.1","14","Findings","CL","CLORRES","Result or Findings as Collected","Char","","",,"","Result Qualifier","Text description of the finding as originally received or collected. If the examination was not performed on a particular body system, or at the subject level, then the value should be null, and NOT DONE should appear in CLSTAT.","Exp"
"SENDIG v3.1.1","15","Findings","CL","CLSTRESC","Standardized Result in Character Format","Char","","",,"","Result Qualifier","The base finding from CLORRES without modifiers. If the examination was completed and there were no abnormal findings, the value must be NORMAL.","Exp"
"SENDIG v3.1.1","16","Findings","CL","CLRESCAT","Result Category","Char","","",,"","Variable Qualifier","Used to categorize the result of a finding post collection. Examples: Color or Facial.","Perm"
"SENDIG v3.1.1","17","Findings","CL","CLSTAT","Completion Status","Char","C66789","ND",,"","Record Qualifier","Used to indicate examination not done or result is missing. Should be null if a result exists in CLORRES.","Perm"
"SENDIG v3.1.1","18","Findings","CL","CLREASND","Reason Not Done","Char","","",,"","Record Qualifier","Describes why CLSTAT is NOT DONE, such as SUBJECT MORIBUND.","Perm"
"SENDIG v3.1.1","19","Findings","CL","CLLOC","Location of a Finding","Char","","",,"","Record Qualifier","Can be used to specify where a clinical sign occurred. Example: LEFT EAR for skin rash.","Exp"
"SENDIG v3.1.1","20","Findings","CL","CLEVAL","Evaluator","Char","","",,"","Record Qualifier","Role of the person who provided the evaluation. Example: TOX TECHNICIAN, OPHTHALMOLOGIST, VETERINARIAN.","Perm"
